Date,Region,Product_Category,Sales_Amount,Profit,Customer_ID,Quantity
2024-01-15,North America,Electronics,1250.50,312.63,C001,3
2024-01-18,Europe,Clothing,890.00,267.00,C002,5
2024-01-20,Asia,Home & Garden,1450.75,435.23,C003,2
2024-01-22,North America,Electronics,2100.00,525.00,C004,4
2024-01-25,Europe,Sports & Outdoors,750.30,187.58,C005,1
2024-01-28,Asia,Electronics,3200.00,960.00,C006,6
2024-02-02,North America,Clothing,680.50,170.13,C007,3
2024-02-05,Europe,Electronics,1890.00,472.50,C008,2
2024-02-08,Asia,Home & Garden,2340.00,702.00,C009,4
2024-02-10,North America,Sports & Outdoors,1120.00,280.00,C010,2
2024-02-12,Europe,Clothing,950.00,285.00,C011,5
2024-02-15,Asia,Electronics,2800.00,840.00,C012,5
2024-02-18,North America,Home & Garden,1560.00,468.00,C013,3
2024-02-20,Europe,Sports & Outdoors,890.00,222.50,C014,2
2024-02-22,Asia,Clothing,1200.00,360.00,C015,6
2024-02-25,North America,Electronics,3400.00,850.00,C016,7
2024-02-28,Europe,Home & Garden,1780.00,534.00,C017,3
2024-03-01,Asia,Sports & Outdoors,990.00,247.50,C018,2
2024-03-03,North America,Clothing,1450.00,435.00,C019,8
2024-03-05,Europe,Electronics,2650.00,662.50,C020,4
2024-03-08,Asia,Home & Garden,2100.00,630.00,C021,3
2024-03-10,North America,Sports & Outdoors,1340.00,335.00,C022,3
2024-03-12,Europe,Clothing,1100.00,330.00,C023,6
2024-03-15,Asia,Electronics,3800.00,1140.00,C024,8
2024-03-18,North America,Home & Garden,1890.00,567.00,C025,4
2024-03-20,Europe,Sports & Outdoors,1020.00,255.00,C026,2
2024-03-22,Asia,Clothing,1350.00,405.00,C027,7
2024-03-25,North America,Electronics,2900.00,725.00,C028,5
2024-03-28,Europe,Home & Garden,2100.00,630.00,C029,4
2024-03-30,Asia,Sports & Outdoors,1150.00,287.50,C030,3
2024-04-02,North America,Clothing,1680.00,504.00,C031,9
2024-04-05,Europe,Electronics,3100.00,775.00,C032,6
2024-04-08,Asia,Home & Garden,2450.00,735.00,C033,5
2024-04-10,North America,Sports & Outdoors,1450.00,362.50,C034,3
2024-04-12,Europe,Clothing,1250.00,375.00,C035,7
2024-04-15,Asia,Electronics,4200.00,1260.00,C036,9
2024-04-18,North America,Home & Garden,2100.00,630.00,C037,4
2024-04-20,Europe,Sports & Outdoors,1180.00,295.00,C038,3
2024-04-22,Asia,Clothing,1500.00,450.00,C039,8
2024-04-25,North America,Electronics,3200.00,800.00,C040,6
2024-04-28,Europe,Home & Garden,2340.00,702.00,C041,5
2024-04-30,Asia,Sports & Outdoors,1280.00,320.00,C042,3
2024-05-02,North America,Clothing,1890.00,567.00,C043,10
2024-05-05,Europe,Electronics,3450.00,862.50,C044,7
2024-05-08,Asia,Home & Garden,2680.00,804.00,C045,5
2024-05-10,North America,Sports & Outdoors,1580.00,395.00,C046,4
2024-05-12,Europe,Clothing,1400.00,420.00,C047,8
2024-05-15,Asia,Electronics,4600.00,1380.00,C048,10
2024-05-18,North America,Home & Garden,2340.00,702.00,C049,5
2024-05-20,Europe,Sports & Outdoors,1320.00,330.00,C050,3
2024-05-22,Asia,Clothing,1680.00,504.00,C051,9
2024-05-25,North America,Electronics,3600.00,900.00,C052,7
2024-05-28,Europe,Home & Garden,2580.00,774.00,C053,6
2024-05-30,Asia,Sports & Outdoors,1420.00,355.00,C054,4
2024-06-01,North America,Clothing,2100.00,630.00,C055,11
2024-06-04,Europe,Electronics,3800.00,950.00,C056,8
2024-06-07,Asia,Home & Garden,2890.00,867.00,C057,6
2024-06-10,North America,Sports & Outdoors,1720.00,430.00,C058,4
2024-06-12,Europe,Clothing,1560.00,468.00,C059,9
2024-06-15,Asia,Electronics,5000.00,1500.00,C060,11
2024-06-18,North America,Home & Garden,2580.00,774.00,C061,6
2024-06-20,Europe,Sports & Outdoors,1480.00,370.00,C062,4
2024-06-22,Asia,Clothing,1890.00,567.00,C063,10
2024-06-25,North America,Electronics,3900.00,975.00,C064,8
2024-06-28,Europe,Home & Garden,2800.00,840.00,C065,7
2024-06-30,Asia,Sports & Outdoors,1580.00,395.00,C066,4
2024-07-02,North America,Clothing,2340.00,702.00,C067,12
2024-07-05,Europe,Electronics,4200.00,1050.00,C068,9
2024-07-08,Asia,Home & Garden,3100.00,930.00,C069,7
2024-07-10,North America,Sports & Outdoors,1890.00,472.50,C070,5
2024-07-12,Europe,Clothing,1720.00,516.00,C071,10
2024-07-15,Asia,Electronics,5400.00,1620.00,C072,12
